#ColumnJun62016,Code,Name,Litter,Duff,Depth,1-hr,10-hr,100h,Logs,Herb,Shrub,folia,branc, Rotten,LogDist,Soil, Flame EF,Duff EF, Smolder 1K EF
#___,------,..........................................................,_____,-----,_____,-----,_____,-----,_____,_____,-----,_____,-----,_____,----,_____,….,_____,…..
IPNS,FLM713,High Duff and Litter; Mod-High Fine Wood; Mod-High Logs; Low-Mod Herb; High Shrub Loading,6.828031,12.055231,1.21,3.5,0.077,0.038,9.65,0.713398,19.24263,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM714,Low Duff and Litter; No Fine Wood; No Logs; Low Herb; High Shrub Loading,1.25,0,0,0,0,0,0,0.06,2.19,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM715,Low Duff and Litter; Low Fine Wood; Low Logs; Mod Herb; High Shrub Loading,2.35224,0,0,0.1,0.18,0.02,0.9,1.223155,2.378376,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM716,Low Duff and Litter; High Fine Wood; Low Logs; Low Herb; High Shrub Loading,2.069971,0,0,9,0,0,1.7,0.382675,3.104957,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM717,Low Duff and Litter; High Fine Wood; None-Low Logs; Low Herb; High Shrub Loading,0.086249,0,0,10,0.8,0.2,0.25,0.201495,0.086249,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM718,No Duff and Litter; High Fine Wood; No Logs; Mod Herb; High Shrub Loading,0,0,0,6,0.095,0.005,0,0.799885,0,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM719,Low Duff and Litter; Low Fine Wood; Low Logs; Low Herb; High Shrub Loading,0.95,0.67,0.07,0.03,0.06,0.09,0.68,0.36,0.41,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM720,No Duff and Litter; Low-Mod Fine Wood; Low Logs; Mod-High Herb; High Shrub Loading,0,0,0,0.95,0.06,0.015,1.2,2.290398,0,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM722,No Duff and Litter; None-Low Fine Wood; No Logs; Mod-High Herb; No Shrub Loading,0,0,0,0.166667,0.063333,0.003333,0,1.71024,0,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM726,None-Low Duff and Litter; Low-Mod Fine Wood; No Logs; Low-Mod Herb; None-Low Shrub Loading,0.1,0.1,0.01,0.65,0.654,0.166,0,0.3,0.1,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM731,Mod Duff and Litter; Mod Fine Wood; Mod Log; Low Herb; Mod Shrub Loading,1,15,1.5,0.3,0.5,1,5,0.1,1,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM732,Mod Duff and Litter; No Fine wood; No Log; Mod Herb; No Shrub  Loading,2,30,3,0,0,0,0,2,0,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM733,Mod Duff and Litter; Low Fine Wood; Low Log; No Herb; Low Shrub,1,15,1.5,0.1,0.2,0.5,1,0,0.5,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM734,Mod Duff and Litter; Low Fine Wood; Low Log; Mod Herb; Low Shrub,1,15,1.5,0.1,0.2,0.5,1,1,0.5,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM741,Low Duff and Litter; Low Fine Wood; Low Log; Low Herb; Low Shrub Loading,1,2,0.2,0.2,0.2,0.2,1,0.1,0.5,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM742,Low Duff and Litter; No Fine Wood; No Log; Low Herb; No Shrub Loading,0.2,0.5,0.05,0,0,0,0,0.1,0,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM743,Low Duff and Litter; No Fine Wood; No Log; Low Herb; Low Shrub Loading,0.2,0.5,0.05,0,0,0,0,0.1,0.5,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM744,Low Duff and Litter; Mod Fine Wood; Low Log; Low Herb; Mod Shrub Loading,0.2,0.2,0.02,0.2,0.3,1,1.5,0.1,1,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM751,No Duff and Litter; Mod Fine Wood; No Logs; Low Herb; Mod Shrub Loading,0,0,0,0.3,0.5,1,0,0.1,1,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM752,No Duff and Litter; Low Fine Wood; Low Logs; Low Herb; Mod Shrub Loading,0,0,0,0.1,0.2,0.5,1,0.1,1,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM753,No Duff and Litter; Low Fine Wood; No Logs; Low Herb; No Shrub Loading,0,0,0,0.1,0.2,0.5,0,0.1,0,2.8,0.28,53,Left,Coarse-Silt,3,8,7
