#Num,R1 IW,R2 PW,R3 NE,R4 SE,SAF #,Cover Type Name,Fuel Ref,Lit,1hr,10hr,100hr,1000h,QMD,Duf,Dep,Cd,Herb,Cd,Shr,Cd,Foli,Cd,Bran,Cd,Add. Ref,CvG, Flame EF,Duff EF, Smolder 1K EF
#---,__,--,__,--,__________,....................................................................................................,---------------,______,------,______,------,______,------,______,------,__,------,__,------,__,------,__,------,__,---------------,___,--,__,---
732,0,0,0,4,,Alnus viridis Shrubland,SMFDB 271,0.5,0,0,0,0,0,5,1,,0.28,,3.25,,,,,,,,5,8,7
789,0,2,0,0,,Alnus viridis ssp. sinuata Seasonally Flooded Shrubland,SMFDB 271,0.5,0,0,0,0,0,5,1,,0.28,,3.25,,,,,,,,5,8,7
750,1,2,0,0,,Alnus viridis ssp. sinuata Temporarily Flooded Shrubland,SMFDB 271,0.5,0,0,0,0,0,5,1,,0.28,,3.25,,,,,,,,5,8,7
826,1,0,0,0,,Aloysia wrightii Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
1298,0,2,0,0,,Ambrosia chamissonis Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
664,1,0,0,0,,Ambrosia deltoidea Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
878,1,0,0,0,,Ambrosia dumosa Dwarf-Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
700,1,2,0,0,,Amelanchier alnifolia Shrubland,INT-GTR-363,0.5,0.2,0.9,1,0,0,9.8,0.5,,0.4,,23.4,,,,,,,,5,8,7
701,1,0,0,0,,Amelanchier utahensis Shrubland,INT-GTR-363,0.5,0.2,0.9,1,0,0,9.8,0.5,,0.4,,23.4,,,,,,,,5,8,7
937,0,0,3,4,,Amophila breviligulata Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
925,1,0,3,4,,Andropogon gerardii - (Calamagrostis canadensis; Panicum virgatum) Herbland,SMFDB 497,0,0,0,0,0,0,0,0,,2.73,,0,,,,,,,,6,8,7
926,1,0,3,4,,Andropogon gerardii - (Sorghastrum nutans) Herbland,SMFDB 497,0,0,0,0,0,0,0,0,,2.73,,0,,,,,,,,6,8,7
1059,0,0,3,4,,Andropogon gerardii - (Sorghastrum nutans) Temporarily Flooded Herbland,SMFDB 497,0,0,0,0,0,0,0,0,,2.73,,0,,,,,,,,6,8,7
1085,0,0,0,4,,Andropogon glaucopsis - Rhynchospora spp. Seasonally Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1060,0,0,0,4,,Andropogon glomeratus Temporarily Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
