# FOFEM SAF Cover File; DCL Updated May 9 2016
# Contains Emission Group Numbers
# Fuel Ref,West,Pacif,NthEst,SthEst, Code, Cover, Ref., Lit,1hr,10hr,100hr,1000hr,QMD,Duff,DuffDepth, Cd, Herb, Cd,  Shr, Cd, Foli, Cd, Bran, Cd, Add. Ref, Cover Group, Flame EF,Duff EF, Smolder 1K EF
32,0,0,0,4,SAF 070,Longleaf Pine - rough age  3,Reid.et al. 2012,6.6,0,0,0,0,0,3.26,0.4,GG,0.9,H1,0.15,S1,,F1,,B1,,PFL,1,8,7
33,0,0,0,4,SAF 070,Longleaf Pine - rough age  4,Reid.et al. 2012,9,0,0,0,0,0,5.58,0.7,GH,0.7,H1,0.15,S1,,F1,,B1,,PFL,1,8,7
154,0,0,0,4,SAF 071,Longleaf Pine - Scrub Oak,FOFEM 221,0.9,0,0,0,0,0,5.7,1.2,GE,0,H1,3.9,S1,,F1,,B1,,,1,8,7
138,0,0,0,4,SAF 072,Southern Scrub Oak - example 1 from Schmalzer & Hinkle 1996,SMFDB 478,1.96,0,0,0,0,0,1.58,0.2,GD,0.01,H1,8.18,S1,,F1,,B1,FOFEM 391,,1,8,7
140,0,0,0,4,SAF 072,Southern Scrub Oak - example 2 from Schmalzer & Hinkle 1996,SMFDB 479,2.15,0,0,0,0,0,3.26,0.4,GD,0.02,H1,8.25,S1,,F1,,B1,FOFEM 391,,1,8,7
,0,0,0,4,SAF 072,Southern Scrub Oak - example 3 from Schmalzer & Hinkle 1996,SMFDB 481,5.22,0,0,0,0,0,5.58,0.7,GD,0.24,H1,9.41,S1,,F1,,B1,FOFEM 391,,1,8,7
,0,0,0,4,SAF 072,Southern Scrub Oak - example 4 from Schmalzer & Hinkle 1996,SMFDB 482,4.87,0,0,0,0,0,8.51,1.2,GD,0,H1,12.77,S1,,F1,,B1,FOFEM 391,,1,8,7
109,0,0,0,4,SAF 073,Southern Redcedar,CFM,,,,,,,,,,,H1,,S1,,F1,,B1,,,1,8,7
110,0,0,0,4,SAF 074,Cabbage Palmetto,CFM Palmetto,,,,,,,,,,,H1,,S1,,F1,,B1,,,1,8,7
100,0,0,3,4,SAF 075,Shortleaf Pine,McDaniel,0.89,0.08,0.3,1.59,3.47,5,1.77,0.28,GD,0.29,H1,0.07,S1,,F1,,B1,,,2,8,7
,0,0,0,4,SAF 076,Shortleaf Pine - Oak,McDaniel,1.51,0.17,0.72,2.4,3.01,5,4.65,0.72,GD,0.03,H1,0.14,S1,0,F1,0,B1,,,1,8,7
,0,0,3,4,SAF 078,Virginia Pine - Oak,FOFEM 221,0.9,0,0,0,0,0,5.7,1.2,GD,0,H1,3.9,S1,,F1,,B1,,,2,8,7
,0,0,3,4,SAF 079,Virginia Pine,FOFEM 211,1.1,0,0,0,0,0,6,0.6,GD,0.1,H1,0.25,S1,,F1,,B1,,,2,8,7
,0,0,0,4,SAF 080,Loblolly Pine - Shortleaf Pine - rough age  1,Reid.et al. 2012,5.1,0,0,0,0,0,0,0,GE,0.3,H1,0.68,S1,,F1,,B1,,,1,8,7
137,0,0,0,4,SAF 080,Loblolly Pine - Shortleaf Pine - rough age  2,Reid.et al. 2012,6.45,0,0,0,0,0,1.35,0.2,GF,0.4,H1,0.9,S1,,F1,,B1,,,1,8,7
,0,0,0,4,SAF 080,Loblolly Pine - Shortleaf Pine - rough age  3,Reid.et al. 2012,9.85,0,0,0,0,0,2.79,0.4,GG,0.35,H1,1.05,S1,,F1,,B1,,,1,8,7
102,0,0,0,4,SAF 080,Loblolly Pine - Shortleaf Pine - rough age  4,Reid.et al. 2012,8.55,0,0,0,0,0,4.43,0.7,GH,0.45,H1,1.35,S1,,F1,,B1,,,1,8,7
,0,0,0,4,SAF 081,Loblolly Pine (Coastal) - rough age  1,FOFEM 421,1.9,0,0,0,0,0,0,0,GE,0,H1,0.75,S1,,F1,,B1,,,1,8,7
304,0,0,0,4,SAF 081,Loblolly Pine (Coastal) - rough age  2,FOFEM 421,1.65,0,0,0,0,0,1.35,0.2,GF,0,H1,1.45,S1,,F1,,B1,,,1,8,7
1,0,0,0,4,SAF 081,Loblolly Pine (Coastal) - rough age  3,FOFEM 421,1.31,0,0,0,0,0,2.79,0.4,GG,0,H1,1.75,S1,,F1,,B1,,,1,8,7
17,0,0,0,4,SAF 081,Loblolly Pine (Coastal) - rough age  5,FOFEM 421,0.97,0,0,0,0,0,4.43,0.7,GH,0,H1,2.3,S1,,F1,,B1,,,1,8,7
18,0,0,0,4,SAF 081,Loblolly Pine (Coastal) - rough age 10,FOFEM 421,0.92,0,0,0,0,0,5.68,1.2,GD,0,H1,3.9,S1,,F1,,B1,,,1,8,7
19,0,0,0,4,SAF 081,Loblolly Pine (Coastal) - rough age 15,FOFEM 421,0.92,0,0,0,0,0,5.68,1.4,GD,0,H1,5.45,S1,,F1,,B1,,,1,8,7
20,0,0,0,4,SAF 081,Loblolly Pine (Piedmont) - rough age  1,FOFEM 441,1.9,0,0,0,0,0,0,0,GE,0,H1,0.68,S1,,F1,,B1,,,1,8,7
23,0,0,0,4,SAF 081,Loblolly Pine (Piedmont) - rough age  2,FOFEM 441,1.65,0,0,0,0,0,1.35,0.2,GF,0,H1,0.9,S1,,F1,,B1,,,1,8,7
22,0,0,0,4,SAF 081,Loblolly Pine (Piedmont) - rough age  3,FOFEM 441,1.31,0,0,0,0,0,2.79,0.4,GG,0,H1,1.05,S1,,F1,,B1,,,1,8,7
,0,0,0,4,SAF 081,Loblolly Pine (Piedmont) - rough age  5,FOFEM 441,0.97,0,0,0,0,0,4.43,0.7,GH,0,H1,1.35,S1,,F1,,B1,,,1,8,7
4,0,0,0,4,SAF 081,Loblolly Pine (Piedmont) - rough age 10,FOFEM 441,0.92,0,0,0,0,0,5.68,1.2,GD,0,H1,2.25,S1,,F1,,B1,,,1,8,7
5,0,0,0,4,SAF 081,Loblolly Pine (Piedmont) - rough age 15,FOFEM 441,0.92,0,0,0,0,0,5.68,1.4,GD,0,H1,3.15,S1,,F1,,B1,,,1,8,7
,0,0,0,4,SAF 082,Loblolly Pine - Hardwood - rough age  1,FOFEM 441,1.9,0,0,0,0,0,0,0,GE,0,H1,0.68,S1,,F1,,B1,,,1,8,7
,0,0,0,4,SAF 082,Loblolly Pine - Hardwood - rough age  2,FOFEM 441,1.65,0,0,0,0,0,1.35,0.2,GF,0,H1,0.9,S1,,F1,,B1,,,1,8,7
116,0,0,0,4,SAF 082,Loblolly Pine - Hardwood - rough age  3,FOFEM 441,1.31,0,0,0,0,0,2.79,0.4,GG,0,H1,1.05,S1,,F1,,B1,,,1,8,7
117,0,0,0,4,SAF 082,Loblolly Pine - Hardwood - rough age  5,FOFEM 441,0.97,0,0,0,0,0,4.43,0.7,GH,0,H1,1.35,S1,,F1,,B1,,,1,8,7
118,0,0,0,4,SAF 082,Loblolly Pine - Hardwood - rough age 10,FOFEM 441,0.92,0,0,0,0,0,5.68,1.2,GD,0,H1,2.25,S1,,F1,,B1,,,1,8,7
119,0,0,0,4,SAF 082,Loblolly Pine - Hardwood - rough age 15,FOFEM 441,0.92,0,0,0,0,0,5.68,1.4,GD,0,H1,3.15,S1,,F1,,B1,,,1,8,7
120,0,0,0,4,SAF 083,Longleaf Pine - Slash Pine - rough age  1,FOFEM 401,2.1,0,0,0,0,0,0,0,GE,0,H1,1.05,S1,,F1,,B1,,PFL,1,8,7
121,0,0,0,4,SAF 083,Longleaf Pine - Slash Pine - rough age  2,FOFEM 401,1.92,0,0,0,0,0,1.58,0.2,GF,0,H1,1.45,S1,,F1,,B1,,PFL,1,8,7
122,0,0,0,4,SAF 083,Longleaf Pine - Slash Pine - rough age  3,FOFEM 401,1.54,0,0,0,0,0,3.26,0.4,GG,0,H1,1.75,S1,,F1,,B1,,PFL,1,8,7
123,0,0,0,4,SAF 083,Longleaf Pine - Slash Pine - rough age  5,FOFEM 401,1.22,0,0,0,0,0,5.58,0.7,GH,0,H1,2.3,S1,,F1,,B1,,PFL,1,8,7
124,0,0,0,4,SAF 083,Longleaf Pine - Slash Pine - rough age 10,FOFEM 401,1.39,0,0,0,0,0,8.51,1.2,GD,0,H1,3.9,S1,,F1,,B1,,PFL,1,8,7
125,0,0,0,4,SAF 083,Longleaf Pine - Slash Pine - rough age 15,FOFEM 401,1.58,0,0,0,0,0,9.72,1.4,GD,0,H1,5.45,S1,,F1,,B1,,PFL,1,8,7
52,0,0,0,4,SAF 084,Slash Pine - rough age  1,FOFEM 401,2.1,0,0,0,0,0,0,0,GI,0,H1,1.05,S1,,F1,,B1,,PFL,1,8,7
61,0,0,0,4,SAF 084,Slash Pine - rough age  2,FOFEM 401,1.92,0,0,0,0,0,1.58,0.2,GJ,0,H1,1.45,S1,,F1,,B1,,PFL,1,8,7
55,0,0,0,4,SAF 084,Slash Pine - rough age  3,FOFEM 401,1.54,0,0,0,0,0,3.26,0.4,GK,0,H1,1.75,S1,,F1,,B1,,PFL,1,8,7
50,0,0,0,4,SAF 084,Slash Pine - rough age  5,FOFEM 401,1.22,0,0,0,0,0,5.58,0.7,GL,0,H1,2.3,S1,,F1,,B1,,PFL,1,8,7
56,0,0,0,4,SAF 084,Slash Pine - rough age 10,FOFEM 401,1.39,0,0,0,0,0,8.51,1.2,GD,0,H1,3.9,S1,,F1,,B1,,PFL,1,8,7
21,0,0,0,4,SAF 084,Slash Pine - rough age 15,FOFEM 401,1.58,0,0,0,0,0,9.72,1.4,GD,0,H1,5.45,S1,,F1,,B1,,PFL,1,8,7
