# Version 6.0   Fuel Loading File - must be same number as the Fofem program's
# This file comes from DL's spread sheet - Sept 20 2012
# NOTE: this file now contains foliage and branch loads whereas the previous versions of this file did not
#
#        1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        200
#234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012
# Reg                                    Name                                                      F Litter   Duff  Depth  Shrub   Herb    1Hr   10Hr  100Hr   3-9S  9-20S   20+S   3-9R  9-20R   20+R CTG
#_-_-  ___________________________________________________________________________________________ _ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ---
 N     152 Red pine -- White pine forest                                                           x    2.4  17.55   0.15   0.18    0.2      2      3   12.5   12.5     15     10    1.4    2.1      0 RJP
 I     154 Bur oak savanna                                                                         x   4.72    3.6   0.03    0.3    0.3    0.2    0.5      1      1    0.5      0      0      0      0
 N     155 Red spruce --  balsam fir forest                                                        x   3.02  44.55   0.25   0.08   0.05    0.5      1    1.5    1.5    0.4      0      2   0.75      0 BBS
 S     156 Slash pine plantation forest                                                            x   2.94   9.35   0.06   1.94    0.1    1.6   0.84      2      2      0      0   0.07      0      0
 S     157 Loblolly pine -- shortleaf pine -- mixed hardwoods forest                               x   6.04  11.05   0.08   2.89   0.11      1    1.3    0.7    0.7    0.7    0.7    0.9      0      0
 S     158 Loblolly pine -- shortleaf pine -- mixed hardwoods forest                               x   9.06  11.05   0.08   2.29   0.11    0.3    1.1   10.4   10.4     10      9      7      4      0
 S     161 Loblolly pine -- slash pine forest                                                      x      3  12.35   0.08      2   0.11    1.2   0.84    0.5    0.5      0      0      1      0      0
 S     162 Loblolly pine -- slash pine forest                                                      x      3  12.35   0.08   0.75   0.11    0.5    4.3    2.7    2.7      0      0    1.6      0      0
 S     164 Sand pine forest                                                                        x   2.96    7.8   0.08   1.15   0.01    1.5    1.5      1      1    0.5      0    0.1      0      0
 S     165 Longleaf pine / three-awned grass -- pitcher plant savanna                              x   1.17    1.3   0.04   1.18   0.35    0.1   0.16    0.2    0.2    0.1      0      0      0      0  GG
 S     166 Longleaf pine / three-awned grass -- pitcher plant savanna                              x    1.3  17.68   0.13   6.39   0.21    0.2    0.5    0.5    0.5    0.2      0      0      0      0  GG
 S     168 Gallberry -- fetterbush shrubland                                                       x    3.1  993.2   3.79   5.37    0.1      0      0      0      0      0      0      0      0      0  SG
 S     170 PPond pine / gallberry -- fetterbush shrubland                                          x   6.13  223.2   0.88   5.99    0.1      0      0      0      0      0      0      0      0      0  SG
 S     173 Live oak / sea oats savanna                                                             x   0.69      0      0   0.36    0.2    0.2    0.2      0      0      0      0      0      0      0
 S     174 Live oak -- sabal palm forest                                                           x   5.69   6.38   0.06   3.75    0.2    0.5    0.5    1.5    1.5      1      0      0      0      0
 S     175 Smooth cordgrass -- black needlerush grassland                                          x   3.45    110   1.04      0      4      0      0      0      0      0      0      0      0      0  GG
 S     176 Smooth cordgrass -- black needlerush grassland                                          x    6.9  298.8   1.58      0      4      0      0      0      0      0      0      0      0      0  GG
 S     178 Loblolly pine -- shortleaf pine forest                                                  x   6.04  13.26    0.1   1.35    0.1    0.9    3.6   10.6   10.6      0      0    4.4    1.4      0
 S     180 Red maple -- oak -- hickory -- sweetgum forest                                          x    6.2   20.8   0.17    0.6   0.25    0.4    0.7    1.8    1.8    1.8      0    0.5    0.7      0
 S     181 Pond pine forest                                                                        x   4.59     56   0.42   4.75      0      1    1.5      2      2      1    0.5    0.5    0.5      0
 S     182 Longleaf pine -- slash pine / saw palmetto -- gallberry forest                          x   5.16   36.4   0.33   7.87    0.2    0.1    0.4    0.5    0.5      0      0      0      0      0
 S     183 Loblolly pine -- shortleaf pine forest                                                  x   6.04  13.26    0.1   1.67    0.2    0.9      4   10.6   10.6      0      0    4.4    1.4      0
 S     184 Longleaf pine / turkey oak forest                                                       x   5.28      5    0.1    2.1    0.2    0.1    0.5    0.8    0.8      0      0    0.2      0      0
