#FCCS Cover File; DCL Updated May 9 2016
#reg,reg,reg,reg,Num-Name,F,Litter,Duff,Depth,Shrub,Herb,1Hr,10Hr,100Hr,3-9S,9-20S,20+S,3-9R,9-20R,20+R,Foli,Bran,CTG, Flame EF,Duff EF, Smolder 1K EF
#_,-,_,-,___________________________________________________________________________________________,_,------,______,------,______,------,______,------,______,------,______,------,______,------,______,------,______,---,___,---,___
P,,,,072 Ohia / uluhe forest,x,5.3,0,0,0.45,6.3,0.2,0.4,0,0,0,0,0,0,0,3.16,0.79,,3,8,7
P,,,,073 Koa / pukiawe forest,x,4.89,0,0,0.68,3,0.9,1.4,4.5,0.1,0.1,0.1,0.1,0.1,0.1,14.39,3.6,,3,8,7
P,,,,074 Mamani -- naio savanna,x,2.17,0,0,0.21,0.72,0.2,0.7,2.2,1.9,0,0,1.9,0,0,2.39,0.6,,3,8,7
P,,,,075 Slash pine / New Caledonia pine forest,x,7.35,49.4,4,0.12,0,0.1,1.2,1.9,0.5,1.5,1,0.5,1.5,1,4.74,1.18,,3,8,7
P,,,,076 Slash pine / molasses grass forest,x,5.83,50.73,4.8,0.02,3.02,0.1,0.4,0.5,0.5,1.5,0.3,0.5,1.5,0.3,1.68,0.42,GG,3,8,7
P,,,,077 Eucalyptus plantation forest,x,5.47,50.96,4,1.36,0.05,0.8,3.3,4.2,4,1,6,2,0.5,0.5,13.7,3.42,,3,8,7
P,,,,078 Florida hopbush - Mauna Loa beggarticks shrubland,x,1.59,0,0,6.37,0.9,1.1,2.5,0.6,0,0,0,0,0,0,0,0,SG,5,8,7
P,,,,079 Pili grass -- broomsedge bluestem grassland,x,0.58,0,0,0.79,2.5,0.1,0,0,0,0,0,0,0,0,0,0,GG,6,8,7
P,,,,080 Fountain grass grassland,x,0.32,0,0,0.12,5.1,0.1,0.3,0.3,0,0,0,0,0,0,0,0,GG,6,8,7
P,,,,081 Pukiawe / Columbia bluestem grassland,x,1.48,0,0,0.5,3.82,0.1,0.1,0,0,0,0,0,0,0,0,0,GG,6,8,7
P,,,,082 White leadtree / Guinea grass shrubland,x,1.9,0,0,0.18,4.5,0.2,0.3,0.1,0,0,0,0,0,0,0,0,GG,5,8,7
P,,,,083 Molasses grass grassland,x,4.4,0,0,3.54,5,0.1,0,0,0,0,0,0,0,0,0,0,GG,6,8,7
P,,,,084 Ohia / Broomsedge bluestem savanna,x,2.54,0,0,4.69,4,0.1,0.2,0.5,0,0,0,0,0,0,0.06,0.02,,6,8,7
P,I,,,085 Black spruce / lichen forest,x,1.71,53.6,6,2.21,0.07,0.2,0.3,1,1.5,0,0,1,0,0,0.92,0.23,BBS,2,8,7
P,I,,,086 Black spruce / feathermoss woodland,x,3.36,52,6,2.21,0.04,0.2,0.3,1,1.5,0,0,1,0,0,0.92,0.23,BBS,2,8,7
P,I,,,087 Black spruce / feathermoss forest,x,3.5,64.4,6,1.23,0.03,0.1,0.2,0.5,1,0,0,0.5,0,0,5.81,1.45,BBS,2,8,7
P,I,,,088 Black spruce / sphagnum moss forest,x,20.38,356,35,0.84,0.04,0.2,0.3,1,1,0,0,1,0,0,0.45,0.11,BBS,2,8,7
P,I,,,089 Black spruce / cottonsedge woodland,x,12.08,270,20,0.58,1.02,0.2,0.3,1,1,0,0,1,0,0,0.45,0.11,BBS,2,8,7
I,,,,090 White oak -- northern red oak forest,x,5.27,22.1,2,0.96,0.01,1,1.4,1.5,5,4,0,1,0,0,11.55,2.89,,3,8,7
P,I,,,091 White spruce / prickly rose forest,x,3.51,48.6,5,1.44,0.05,0.2,0.4,1.2,1.5,0,0,0.5,0,0,6.06,1.52,BBS,2,8,7
P,I,,,092 Quaking aspen -- paper birch -- white spruce -- black sp,x,4.32,30.6,3,0.74,0.03,0.4,0.6,1.5,3,0,0,1.5,0,0,6.26,1.57,BBS,2,8,7
P,I,,,093 Paper birch -- quaking aspen forest,x,5.58,37.8,4,0.96,0.02,0.3,0.4,0.8,3,3,0,1,1,0,9.82,2.46,,2,8,7
P,I,,,094 Balsam poplar -- quaking aspen forest,x,5.73,30.6,3,1.37,0.03,0.2,0.3,1.5,2,1,0,1,0.5,0,9.17,2.29,BBS,2,8,7
P,I,,,095 Willow -- mountain alder shrubland,x,2.79,23.4,2,6.4,0.1,0.2,0.5,0.5,0.5,0,0,0.4,0,0,0,0,SG,5,8,7
P,I,,,097 Cottongrass grassland,x,4.55,150,10,0.33,3,0,0,0,0,0,0,0,0,0,0,0,GG,6,8,7
P,I,,,098 Marsh Labrador tea -- lingonberry tundra shrubland,x,2.13,7.6,2,3.13,0.2,0,0,0,0,0,0,0,0,0,0,0,SG,5,8,7
P,I,,,099 Bluejoint reedgrass grassland,x,6.9,27,2,0,5,0,0,0,0,0,0,0,0,0,0,0,GG,6,8,7
P,I,,,100 Altai fescue grassland,x,3.83,7.5,1,0,4,0,0,0,0,0,0,0,0,0,0,0,GG,6,8,7
P,I,,,101 White spruce forest,x,3.28,48.6,5,1.76,0.03,0.3,0.5,1.5,2,0,0,0.5,0,0,7.75,1.94,BBS,2,8,7
P,I,,,102 White spruce forest,x,3.2,48.6,5,2.57,1.05,1,1.5,3,20,5,0,0.5,0,0,4.96,1.24,BBS,2,8,7
P,I,,,103 White spruce -- paper birch forest,x,4.07,34.2,3,2.34,0.03,0.5,0.7,1.5,3,2,0,1,1,0,10.07,2.52,BBS,2,8,7
P,I,,,104 White spruce -- paper birch forest,x,4.12,34.2,3,3.84,1.05,1.5,2,3,15,5,0,1,1,0,10.04,2.51,BBS,2,8,7
