# Changed species codes to the NRCS format May 17, 2012 - DCL
# Fofem Species File -
#  This file is used in conjunction with the FOFEM tree mortality option
#
#  NOTE NOTE: - Developer's note if changes are made to this file you
#               might have to also change the table in fof_spp.h
#
# Mort = Mortality Equation
# Brk = Bark Equation
# Reg = Region
#   Interior West   1
#   Pacific West    2
#   North East      3
#   South East      4
# Crn = Crown Coefficient code used to calc stand canopy cover
#
# PF = Post Fire Injury Mortality Equation number
#
#  P = Post Fire Injury Show, a 'P' in this column will cause the spieces
#      only show up in the Post Fire Injury list shown to user
#
#
# Note-1: A few species, ponderose/jeffrey have 2 PFI (Post Fire Injury)
#         eqs, so there
#         are two entries below, both show up in the PFI user master list
#         window, but only one shows in the normal mort master list
#
#
#        1         2         3         4         5         6         7
#234567890123456789012345678901234567890123456789012345678901234567890123
# SPP   Name                                        Mort Brk Reg Crn PF P
#------ ______________________________________________-- ___ ---- __ -- _
PIPUG3  Picea pungens -- Blue spruce                   3  10 1    10
PIPUA   Picea pungens -- Blue spruce                   3  10 1    10
PIRU    Picea rubens -- Red spruce                     3  13   34 10
PISI    Picea sitchensis -- Sitka spruce               3   6  2   10
PICSPP  Picea species -- Spruces                       3  13   34 10
PIAL    Pinus albicaulis -- Whitebark pine            17   9 12   31 WP
PIAT    Pinus attenuata -- Knobcone pine               1   9  2   32
PIBA2   Pinus banksiana -- Jack pine                   1  19   3  11
PICL    Pinus clausa -- Sand pine                      1  14    4 11
PICLI   Pinus clausa -- Sand pine                      1  14    4 11
PICLI2  Pinus clausa -- Sand pine                      1  14    4 11
PICO    Pinus contorta -- Lodgepole pine              17   7 12   11 WP
PICOB   Pinus contorta -- Bolander beach pine         17   7 12   11 WP
PICOB2  Pinus contorta -- Bolander beach pine         17   7 12   11 WP
PICOC   Pinus contorta -- Beach pine                  17   7 12   11 WP
PICOC2  Pinus contorta -- Beach pine                  17   7 12   11 WP
PICOL   Pinus contorta -- Lodgepole pine              17   7 12   11 WP
PICOL2  Pinus contorta -- Lodgepole pine              17   7 12   11 WP
PICOM   Pinus contorta -- Sierra lodgepole pine       17   7 12   11 WP
PICOM4  Pinus contorta -- Sierra lodgepole pine       17   7 12   11 WP
PIEC2   Pinus echinata -- Shortleaf pine               1  16   34 15
PIEL    Pinus elliottii -- Slash pine                  1  31    4 15
PIELD   Pinus elliottii -- Florida slash pine          1  31    4 15
PIELA   Pinus elliottii -- Florida slash pine          1  31    4 15
PIELA2  Pinus elliottii -- Florida slash pine          1  31    4 15
PIELE2  Pinus elliottii -- Slash pine                  1  31    4 15
PIFL2   Pinus flexilis -- Limber pine                  1   9 1    31
PIFLA   Pinus flexilis -- Limber pine                  1   9 1    31
