# Version 6.0   Fuel Loading File - must be same number as the Fofem program's
# This version was create from the spreadsheet Oct-11-2012 DCL
#
#
#        1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        200       210
#23456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456
# Reg                                    Name                                                      F Litter   Duff  Depth  Shrub   Herb    1Hr   10Hr  100Hr   3-9S  9-20S   20+S   3-9R  9-20R   20+R  Foli  Bran   CTG
#_-_-  ___________________________________________________________________________________________ _ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ---
 PI    093 Paper birch -- quaking aspen forest                                                     x   5.58  37.80   4.00   0.96   0.02   0.30   0.40   0.80   3.00   3.00   0.00   1.00   1.00   0.00   9.82   2.46
 PI    094 Balsam poplar -- quaking aspen forest                                                   x   5.73  30.60   3.00   1.37   0.03   0.20   0.30   1.50   2.00   1.00   0.00   1.00   0.50   0.00   9.17   2.29 BBS
 PI    095 Willow -- mountain alder shrubland                                                      x   2.79  23.40   2.00   6.40   0.10   0.20   0.50   0.50   0.50   0.00   0.00   0.40   0.00   0.00   0.00   0.00  SG
 PI    097 Cottongrass grassland                                                                   x   4.55 150.00  10.00   0.33   3.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 PI    098 Marsh Labrador tea -- lingonberry tundra shrubland                                      x   2.13   7.60   2.00   3.13   0.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 PI    099 Bluejoint reedgrass grassland                                                           x   6.90  27.00   2.00   0.00   5.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 PI    100 Altai fescue grassland                                                                  x   3.83   7.50   1.00   0.00   4.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 PI    101 White spruce forest                                                                     x   3.28  48.60   5.00   1.76   0.03   0.30   0.50   1.50   2.00   0.00   0.00   0.50   0.00   0.00   7.75   1.94 BBS
 PI    102 White spruce forest                                                                     x   3.20  48.60   5.00   2.57   1.05   1.00   1.50   3.00  20.00   5.00   0.00   0.50   0.00   0.00   4.96   1.24 BBS
 PI    103 White spruce -- paper birch forest                                                      x   4.07  34.20   3.00   2.34   0.03   0.50   0.70   1.50   3.00   2.00   0.00   1.00   1.00   0.00  10.07   2.52 BBS
